frame,ball_x,410_x,1942_x,1943_x,1944_x,6052_x,7202_x,10098_x,14540_x,18278_x,23700_x,30862_x,ball_y,410_y,1942_y,1943_y,1944_y,6052_y,7202_y,10098_y,14540_y,18278_y,23700_y,30862_y,stretch_index,Time [s],10098_vx,10098_vy,10098_speed,14540_vx,14540_vy,14540_speed,18278_vx,18278_vy,18278_speed,1942_vx,1942_vy,1942_speed,1943_vx,1943_vy,1943_speed,1944_vx,1944_vy,1944_speed,23700_vx,23700_vy,23700_speed,30862_vx,30862_vy,30862_speed,410_vx,410_vy,410_speed,6052_vx,6052_vy,6052_speed,7202_vx,7202_vy,7202_speed
0,25.573330357773237,34.22013296838097,25.573330357773237,24.557460129133645,13.25663271217094,36.572722691775795,39.44353741496598,38.578231292517,41.36405417433486,39.75409411063125,-39.58775510204082,42.51113726404475,16.602925903303287,6.387405298584136,16.602925903303287,4.506684094075141,7.808893391320615,12.133739457403601,-2.9999999999999964,-0.7142857142857094,2.5846786878900456,31.72305567528899,-6.285714285714293,7.56615770239906,24.43233030050463,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25.643204541557026,34.259865243753076,25.642088535489144,24.387919694094037,13.05524802655891,36.41976396231244,39.2546142393861,38.423596692071236,41.21970049471484,39.67518199908054,-39.58333071536725,42.28696539768099,15.956921415952102,6.429367694624869,16.699681981139488,4.639489772317737,7.674092256296267,12.21489245048138,-3.144236796820735,-0.7152975692664979,2.583390419507005,31.694318018351876,-6.283520262359811,7.543402672970526,24.36620437086317,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25.711257052020592,34.287929294584494,25.695437830365243,24.217795611290576,12.851859821577666,36.26191777818222,39.05708224155626,38.26133310619373,41.06799226876191,39.593294533677934,-39.57933215543857,42.06367003667573,15.327758758811163,6.4666535242876115,16.788368736098207,4.762041357830142,7.538883114548212,12.289889576429992,-3.2805892259125047,-0.7189393495122002,2.580813344099065,31.665776847046455,-6.281537403601064,7.520647643541985,24.29858613810908,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,25.7774878891639,34.30445952317174,25.733637423928677,24.047030041067686,12.646530733222146,36.09922330505823,38.85109548819204,38.091568428079015,40.909047989753255,39.50846513505356,-39.57574538401045,41.84123755695418,14.715437931880507,6.49935819984232,16.869133715595098,4.874534852069366,7.403293322062971,12.358868633048829,-3.40925076754962,-0.725136354824865,2.576966797652272,31.63742995435003,-6.279758747967834,7.497892614113464,24.22952674770643,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25.84189705298695,34.30959033181135,25.756946497706586,23.8755651437697,12.43932339748746,35.931719708613684,38.6368080460093,37.91443055092182,40.74298615096634,39.42072722383754,-39.57255636283855,41.619654334441734,14.119958935160115,6.5275771335589345,16.94212446704586,4.977166256492412,7.26735023482702,12.421967418137214,-3.5304149020064335,-0.7338138850065508,2.5718701161526347,31.60927513323989,-6.2781773339899605,7.4751375846849255,24.15907100796626,0.2,-3.5376418153591613,-0.17056259571520394,3.541751150608237,-3.316497044647519,-0.10116019055165584,3.318039486098406,-1.7534213991167946,-0.5631847031131898,1.8416469837353167,0.4765487366423876,1.4657169256423277,1.5412413193623677,-3.431611532184573,2.0604681467404613,4.002684935334559,-4.141641274893886,-2.7177675052595895,4.953731185939502,0.06434195321158344,0.03190673836496721,0.07181870853873705,-4.432209413236328,-0.4551005885706465,4.455513082519012,0.10799226465309181,0.5681951651310512,0.5783667304601864,-3.3485053019634634,1.2674876137424818,3.580364870829234,-4.279586175028242,-2.431021900110292,4.921861975747462
5,25.90448454348975,34.303456122799815,25.765624233226042,23.703343079741035,12.23030045036852,35.7594461545218,38.41437398172357,37.730047367916725,40.56992524567831,39.33011422065992,-39.56975105367853,41.39890674506366,13.54132176865002,6.551405737707452,17.007488537866177,5.070131572556229,7.131081208826827,12.479323729494553,-3.644275109557299,-0.7448972398592673,2.5655426355861857,31.58131017669319,-6.276786200197251,7.452382555256399,24.08725586075926,0.25,-3.682547932316993,-0.218679089136207,3.6890350795075944,-3.456478374668746,-0.1257761718879394,3.458766022726527,-1.810923238348262,-0.5593874118432852,1.8953514850070647,0.18392197147345457,1.313183313033101,1.326000642993537,-3.446754866798634,1.8671463795565044,3.919994223782866,-4.177953502578018,-2.7242862805441597,4.987687962178975,0.05666771297399008,0.02810113466176592,0.0632526953021073,-4.415496750548401,-0.45510058857063634,4.438888160319071,-0.11730808836911624,0.48038857376893307,0.4945041652044662,-3.44390445491064,1.152638139121141,3.631673522538886,-4.442518617086851,-2.284943361991399,4.995691927117987
6,25.96525036067232,34.28619129843372,25.759929812014185,23.530306009326026,12.019524527860384,35.5824418084557,38.18394736205062,37.53854677225835,40.38998376716652,39.2366595461508,-39.56731541828605,41.17898116474531,12.97952643235017,6.570939424557813,17.0653734754717,5.153626801717866,6.994513600048918,12.531075364920175,-3.7510248704765607,-0.7583117191850681,2.5580036919389686,31.553532877687264,-6.275578385119498,7.429627525827879,24.014109153053592,0.30000000000000004,-3.824896185382686,-0.2653015785980171,3.834086039274761,-3.5940898391443654,-0.15000543350362225,3.5972188426507192,-1.867756664977581,-0.5556342610280041,1.9486519421375157,-0.10352116315323615,1.1636006487373454,1.1681965164143273,-3.463054994525123,1.677744641512537,3.8480614570494365,-4.213013010362161,-2.730257936098904,5.0203373415649954,0.049274237623109216,0.02443476036243857,0.05500007279366483,-4.3990565693541885,-0.455100588570578,4.42253493441211,-0.339920395460922,0.3944902278060981,0.5207383364846656,-3.5385202943943943,1.0405446204870878,3.6883409523884323,-4.602369724831894,-2.1427344293593467,5.076723147741181
7,26.02419450453465,34.257930261009555,25.740122415598073,23.356396092869044,11.80705826595808,35.40074583608858,37.945682253706096,37.3400566571413,40.20328020870823,39.14039662094037,-39.56523541841677,40.959863969412034,12.434572926260607,6.586273606380004,17.115926827278102,5.227847945434303,6.857674764479759,12.57736012221347,-3.850857665038599,-0.7739826227860308,2.549272621196966,31.525941029199373,-6.274546927286554,7.406872496399334,23.939648860992314,0.35000000000000003,-3.9646865745555715,-0.31043006410071705,3.9768211500089827,-3.7293314380738707,-0.17384797539879063,3.73338132174526,-1.9239216790050357,-0.5519252506677219,2.001523447094783,-0.38578066723758303,1.016968932755132,1.0876821840056896,-3.480511915364214,1.4922629326083807,3.7869264388193806,-4.246819798246193,-2.735682471923853,5.051676650971165,0.042161527159001774,0.020907615466769464,0.047060841013368444,-4.382888869653466,-0.4551005885706034,4.4064533799246695,-0.5598446566221632,0.31050012724263504,0.6401846363089951,-3.63235282041448,0.9312070578403617,3.749817808446796,-4.759139498263108,-2.0043951022144557,5.164010891710951
8,26.08131697507671,34.218807412823885,25.706461225504853,23.181555490714516,11.592964300656604,35.21439740309371,37.6997327234057,37.13470491576029,40.00993306358078,39.04135886565865,-39.56349701582635,40.74154153498905,11.906461250381327,6.597503695443995,17.159296140701073,5.292991005162514,6.720592058105811,12.618315799173779,-3.9439669735177247,-0.7918352504641704,2.5393687593462264,31.498532424206726,-6.273684865228193,7.384117466970803,23.863882879745077,0.4,-4.1019190998360955,-0.3540645456442243,4.1171716024574945,-3.8622031714578693,-0.1973037975734826,3.867239600303573,-1.9794182804304024,-0.5482603807623474,2.053944053282787,-0.6628565407800326,0.873288165086399,1.096362628392103,-3.4991256293155204,1.310701252844214,3.7365516113042156,-4.279373866230032,-2.7405598880191095,5.0817033745380975,0.03532958158162711,0.017519699974893093,0.03943499996124147,-4.366993651446437,-0.455100588570578,4.390643471917388,-0.7770808718527582,0.22841827207850582,0.8099565348947888,-3.725402032970838,0.8246254511808309,3.815576947461346,-4.912827937380857,-1.8699253805565035,5.256662369903477
9,26.136617772298525,34.16895715617317,25.65920542326161,23.005726363206783,11.37730526795091,35.023435675144185,37.446252837865096,36.92261944130979,39.810060825061385,38.93957970093578,-39.56208617227048,40.524000237401765,11.395191404712303,6.604725104019746,17.195628963156278,5.34925198235953,6.5832928369135955,12.654080193600473,-4.030546276188276,-0.8117949020215062,2.528311442372797,31.471304855686654,-6.27298523747421,7.361362437542283,23.786809428430626,0.45,-4.2365937612240945,-0.3962050232286353,4.25507991911721,-3.9927050392960375,-0.22037290002757504,3.9987820328053063,-2.034246469253722,-0.5446396513117283,2.1058943580940133,-0.93474878378024,0.7325583457310153,1.187601371958958,-3.5188961363795697,1.1330596022199984,3.6968167496929034,-4.31067521431365,-2.744890184384543,5.110415142395835,0.028778400891025863,0.014271013886918583,0.03212254963736878,-4.351370914732897,-0.4551005885705881,4.375105185398484,-0.991629041152809,0.14824466231372058,1.0026488094852297,-3.8176679320635483,0.7207998005085665,3.8851178607501162,-5.063435042184797,-1.7393252643855137,5.353842246625754
10,26.190096896200103,34.10851389335398,25.598614190395523,22.82885087069021,11.160143803835979,34.82789981791316,37.18539666379995,36.703928126984565,39.6037819864274,38.8350925474018,-39.5609888495048,40.30722645257546,10.900763389253557,6.608033244377243,17.225072842059394,5.396826878482299,6.445804456889622,12.684791103292955,-4.110789053324679,-0.833786877260116,2.516120006262695,31.444256116616327,-6.272441082554464,7.338607408113753,23.708418042033998,0.5,-4.368710558719491,-0.4368514968539085,4.390497827828943,-4.120837041588317,-0.24305528276127752,4.1279987637842765,-2.088406245474833,-0.5410630623159562,2.157357152522736,-1.201457396238317,0.5947794746891839,1.3406201917348919,-3.539823436556061,0.9593379807355947,3.6675167788673315,-4.340723842497175,-2.748673361020271,5.137809720338611,0.022507985087116822,0.011161557202571868,0.02512349004155587,-4.336020659512891,-0.4551005885706187,4.359838495339011,-1.2034891645223973,0.06997929794832505,1.205521991198899,-3.9091505176925727,0.6197301058236654,3.957969577199946,-5.210960812675173,-1.6125947537016025,5.454775378592801
