frame,ball_x,1634_x,1635_x,1636_x,3837_x,4777_x,5201_x,5566_x,10054_x,10055_x,11234_x,12853_x,ball_y,1634_y,1635_y,1636_y,3837_y,4777_y,5201_y,5566_y,10054_y,10055_y,11234_y,12853_y,stretch_index,Time [s],10054_vx,10054_vy,10054_speed,10055_vx,10055_vy,10055_speed,11234_vx,11234_vy,11234_speed,12853_vx,12853_vy,12853_speed,1634_vx,1634_vy,1634_speed,1635_vx,1635_vy,1635_speed,1636_vx,1636_vy,1636_speed,3837_vx,3837_vy,3837_speed,4777_vx,4777_vy,4777_speed,5201_vx,5201_vy,5201_speed,5566_vx,5566_vy,5566_speed
0,3.902845456074145,20.408035363048114,21.43430696829222,14.337903436993358,9.785866673649327,44.426029611702546,6.561904761904762,3.902845456074145,0.9556124169204159,1.2707163752147919,-5.985034013605437,-7.571428571428567,-32.5658088387471,-6.237181727500982,-24.57941542281773,-32.76581715628404,12.137192650609329,-2.369972048008527,-15.142857142857157,-32.5658088387471,-19.604804470965266,-27.6782550562549,-29.28571428571429,-8.285714285714285,23.43212234361414,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4.2280745027502515,20.392439528584774,21.37968530516794,14.3735457515273,9.707429959991618,44.40953800653025,6.403021452591219,3.8506578074038926,0.8654777860179704,1.2402548394037418,-6.066123495981964,-7.636887806904191,-32.396582069756064,-6.2044597583486265,-24.703998724180643,-32.87516045619584,12.163297168175399,-2.376042117255539,-15.147379990830608,-32.595711265263375,-19.559608020467497,-27.697868262095497,-29.319617786111955,-8.301675318457256,23.43798234628217,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.525369766276207,20.37758613105065,21.331927514796924,14.402468829221744,9.638393068459333,44.39505679968071,6.260795740181949,3.8177890785970487,0.7826396800767277,1.2135300479719677,-6.141510657205262,-7.696748086564724,-32.24189011527958,-6.177027586512434,-24.810427490449985,-32.97224396259895,12.186048221692438,-2.3812204046587646,-15.149712101831609,-32.62051876806209,-19.514107109373175,-27.71507549808814,-29.349806797825952,-8.316271148621214,23.44259847829633,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4.79473124665212,20.363546081779404,21.29087496989927,14.424990030733753,9.578571804337404,44.38254401317916,6.134853433225588,3.803565165096069,0.7069423442766686,1.1904622347360332,-6.211313841682143,-7.751125609601181,-32.101732975317674,-6.154677749240919,-24.899302079054138,-33.05724389851095,12.20552860075094,-2.385536852401019,-15.149907979427567,-32.640276170200316,-19.468308236831618,-27.729928123119763,-29.376358410333996,-8.32953010924549,23.44596287949291,0.15000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5.036158943877919,20.350390292104834,21.25636904319511,14.441426716720406,9.527781972910734,44.3719576690509,6.024820340270773,3.807311962343285,0.6382300237979014,1.1709716335125924,-6.275651393819453,-7.800136575204472,-31.976110649870314,-6.137202783782536,-24.97122284742143,-33.13033648694929,12.2218210949413,-2.389021402665175,-15.14802212718588,-32.65502829473499,-19.422217901992173,-27.742477496077303,-29.399349713113917,-8.341480533369367,23.44808123715953,0.2,-1.3804766023741,0.9215467308149424,1.6598084307467673,-0.39300267180357346,-0.25304181462821873,0.4674197899052725,-1.2914848190174713,-0.46290963470922414,1.3719396370318986,-0.9848672797041121,-0.2401418040497205,1.013721680089773,-0.260279340144243,0.3577978192283889,0.4424529515671846,-0.696463625277224,-1.462429664480282,1.619803106826939,0.3414281460174554,-1.4689006894686785,1.5080591548127267,-1.0231644171368666,0.32916146742486263,1.0748082136513066,-0.2134060015529623,-0.07088869259682945,0.2248718040059952,-2.2156295171511635,0.03553690213771228,2.215914490382028,0.04797176263946612,-0.2968354129743846,0.30068680118424007
5,5.249652857953638,20.338189673360517,21.22825110740463,14.452096247838833,9.485839379464238,44.36325578932124,5.9303222698661155,3.8283553657810536,0.5763469638204142,1.1549784781182995,-6.334641658023916,-7.8438971825655734,-31.86502313893756,-6.1243952273857785,-25.02679015298024,-33.19169795093156,12.235008493853975,-2.391703997634053,-15.144109048673942,-32.66481996472319,-19.375842604004212,-27.752774975847686,-29.418857795643447,-8.352150754032156,23.448971302079396,0.25,-1.243891392348306,0.9272459937856731,1.5514673470459466,-0.3230537552211096,-0.20800395088525442,0.3842256789262476,-1.184539060360927,-0.3932452297017314,1.2481084072322866,-0.8798601148600962,-0.2145377348279861,0.9056380410444036,-0.24117592153817416,0.26444963799604126,0.3579098156882887,-0.5687038070041288,-1.1353604083105342,1.2698296251308883,0.2260850486528858,-1.234278200347246,1.2548135818028165,-0.8462196575334247,0.26705956187115015,0.8873604219159187,-0.17571671358063715,-0.05484958669149949,0.1840783544901681,-1.904929066147746,0.07608142754262659,1.9064477781128566,0.39390388645133,-0.197626322044288,0.440699937515556
6,5.4352129888792735,20.32701513688021,21.206362535247955,14.457315984746156,9.45255982928282,44.35639639601551,5.850985030560267,3.866021270851821,0.5211374095242254,1.1424030023697487,-6.388402978702352,-7.882523630875403,-31.768470442519348,-6.116047617299152,-25.0666043531589,-33.24150451347529,12.24517358707941,-2.3936145794905253,-15.138223247459159,-32.6696960032219,-19.329188842017047,-27.760871921317882,-29.43495974740038,-8.361569104273164,23.448661440027085,0.30000000000000004,-1.1104212787217396,0.9328152737696118,1.4502343780285651,-0.2547001623061425,-0.16399326488106725,0.3029289745222916,-1.079960189840316,-0.32512261424966277,1.1278380761157456,-0.77717693383533,-0.18950032639237588,0.7999464733271233,-0.22065427625812664,0.17525071179410692,0.2817820462970251,-0.44411653432827536,-0.8202983007079263,0.9328069458403865,0.11708916443021773,-1.0031801715766162,1.0099902618696162,-0.6729587922315768,0.206613448126315,0.7039621104778495,-0.1388669851022785,-0.03940932444303665,0.144350733993468,-1.6017124441716415,0.11553588159953015,1.6058739968475966,0.7263539191109623,-0.09931369225447334,0.7331120141404521
7,5.59283933665479,20.31693759399763,21.19054469944519,14.457403288099467,9.427759127651424,44.35133751115901,5.7864344309018545,3.919635572997958,0.4724456060894808,1.1331654400835411,-6.437053700261552,-7.916132119325006,-31.686452560615717,-6.111952490771046,-25.091265805385827,-33.279932397598074,12.25239916420803,-2.3947830904174174,-15.130419227108957,-32.66970123328814,-19.282263115180037,-27.766819691374778,-29.447732657862517,-8.369763917131687,23.44718922842352,0.35000000000000003,-0.9800662614942937,0.9382545707666878,1.3567798334600876,-0.18794189305850048,-0.12100975661551518,0.2235296766931833,-0.9777482074555367,-0.2585417883531197,1.0113532585142269,-0.676817736629636,-0.16502957874276805,0.6966469769377305,-0.19871440430407006,0.09020104062268988,0.21822841750637695,-0.3227018072495826,-0.5172433416725702,0.6096532874566937,0.014440493349720106,-0.7756066031566075,0.7757410203852279,-0.5033818212314753,0.14782312619027593,0.5246379080689684,-0.10285681611768331,-0.02456790585148408,0.10575020860402264,-1.3059796512228645,0.15390026430848383,1.3150164032294107,1.0453218606182497,-0.0018975236048187627,1.045323582859504
8,5.722531901280217,20.308027956046413,21.180638972716494,14.452675518555811,9.41125307985492,44.348037156777025,5.736296279439507,3.988524167661858,0.43011579869606326,1.1271860250763535,-6.480712167108289,-7.944838847105225,-31.618969493226658,-6.111902385050012,-25.10137486708933,-33.30715782631738,12.256768014830302,-2.395239472597564,-15.120751491190688,-32.664880477978876,-19.23507192264251,-27.770669644905336,-29.45725361650756,-8.376763525647052,23.444600106625355,0.4,-0.8528263406662687,0.9435638847767384,1.2718591006826145,-0.1227789474784429,-0.0790534260887199,0.14602778543920653,-0.877903113206437,-0.19350275201215286,0.8989756343827294,-0.5787825232431207,-0.1411254918793452,0.5957395518763722,-0.1753563056762987,0.009300624481698765,0.17560277775761146,-0.20445962576814175,-0.22619553120440472,0.3049068003605223,-0.08186096458885062,-0.5515574950876254,0.5575992179968987,-0.33748874453312033,0.09068859606298724,0.34946111964339815,-0.06768620662677043,-0.010325330916816406,0.06846922685457771,-1.017730687301552,0.19117457566932516,1.035530525990246,1.350807710973304,0.09462218390451325,1.3541177311119579
9,5.824290682755569,20.300357134360304,21.176486727782027,14.44345003677232,9.402857491178281,44.34645335489491,5.700196384721875,4.0720129502858855,0.39399223252411886,1.1243849911648178,-6.519496723649373,-7.968760013407089,-31.566021240352143,-6.115689837384497,-25.09753189569776,-33.32335702265077,12.258362928536648,-2.3950136682138274,-15.109274543271773,-32.65527856035116,-19.18762176355381,-27.772473140796514,-29.463599712813334,-8.382596262858545,23.44094608739508,0.45,-0.7287015162373426,0.9487432158001494,1.1962941065195511,-0.05921132556575212,-0.03812427330062056,0.07042330076014544,-0.78042490709323,-0.13000550522655932,0.7911791623903461,-0.48307129367567,-0.11778806580195016,0.49722419814290003,-0.1505799803744066,-0.06745053662880042,0.16499668293959677,-0.08938998988392248,0.05284513069666108,0.1038420826533971,-0.17181520938527117,-0.331032847369467,0.37296543031981044,-0.17527956213638973,0.03520985774461645,0.17878103642478593,-0.033355156629905236,0.0033184003609714463,0.03351981883544729,-0.7369655524074553,0.22735881568217098,0.7712394287791731,1.6428114701762497,0.19024543027376636,1.6537904493262445
